"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"34348",235,154,0,"A_25_P00010474","hsa-miR-100-5p",-3.5437964748989,9.75025727581914,-5.79479200322599,1.42054678672711e-05,0.00151956832690511,3.28569158607491
"34033",233,119,0,"A_25_P00012002","hsa-miR-26b-5p",-2.68100447055945,9.62471765967299,-5.79121394507548,1.4314709718161e-05,0.00152810207894212,3.27832805351906
"25158",172,154,0,"A_25_P00010475","hsa-miR-100-5p",-3.04043576790595,8.505145035162,-5.78927280497057,1.43743351689026e-05,0.00153127449809743,3.27433256128286
"38440",264,12,0,"A_25_P00011999","hsa-miR-26a-5p",-2.84543957555123,11.3098905266648,-5.78697461823579,1.44452576020378e-05,0.00153127449809743,3.2696015284077
"31780",218,33,0,"A_25_P00010130","hsa-miR-497-5p",-2.23543484204824,6.9989957711899,-5.78670121719315,1.44537186762818e-05,0.00153127449809743,3.26903866174842
"16271",112,41,0,"A_25_P00010130","hsa-miR-497-5p",-2.29020984654564,6.99598679905442,-5.78305879339466,1.45669290628605e-05,0.00154035655169614,3.26153887967539
"27532",189,6,0,"A_25_P00012692","hsa-miR-532-3p",-2.5519470957179,7.53419479591262,-5.78010697211695,1.46593422001117e-05,0.00154720936772704,3.25545981044348
"51309",352,145,0,"A_25_P00012312","hsa-miR-362-3p",-2.24666111192985,6.54802654133393,-5.77612276822053,1.47850313611057e-05,0.00155754191278536,3.24725285756568
"53882",370,74,0,"A_25_P00012001","hsa-miR-26b-5p",-2.95001880867025,8.83305252393737,-5.77208628478336,1.4913497915626e-05,0.0015665233047963,3.23893615111152
"8763",60,94,0,"A_25_P00012001","hsa-miR-26b-5p",-2.70092015654312,9.00145385541768,-5.77060487885602,1.49609325359849e-05,0.0015665233047963,3.23588336508884
"55556",381,110,0,"A_25_P00011998","hsa-miR-26a-5p",-2.78214370327601,9.52521435455212,-5.76902246965073,1.50117723333934e-05,0.0015665233047963,3.23262212936176
"33295",228,112,0,"A_25_P00010980","hsa-miR-125b-5p",-4.0412771625631,10.2482460393209,-5.7684208627894,1.50311473018123e-05,0.0015665233047963,3.23138217568846
"51006",350,134,0,"A_25_P00010474","hsa-miR-100-5p",-3.59500139409554,9.75975410003764,-5.76820834618197,1.5037997608672e-05,0.0015665233047963,3.23094415314005
"52544",361,60,0,"A_25_P00014557","hsa-miR-214-5p",-1.26498275561968,6.17483353833863,-5.7648257414803,1.51474655938652e-05,0.00157499918690646,3.22397142044692
"17931",123,94,0,"A_25_P00010130","hsa-miR-497-5p",-2.2130728490275,7.04553645626681,-5.76161610669486,1.52520920381982e-05,0.00158294119664589,3.2173538945305
"40389",277,80,0,"A_25_P00010130","hsa-miR-497-5p",-2.22663698314514,6.99642322077822,-5.75686655770469,1.54082784469516e-05,0.00159619511512192,3.20755902107696
"47439",326,29,0,"A_25_P00010980","hsa-miR-125b-5p",-3.73298160464563,10.2585942419824,-5.75126397342602,1.55946281545589e-05,0.00161103489412666,3.19600127748227
"29197",200,62,0,"A_25_P00012001","hsa-miR-26b-5p",-2.96818712758143,8.92969579810874,-5.75083412909956,1.56090205465487e-05,0.00161103489412666,3.1951143741584
