"","Row","Col","ControlType","ProbeName","SystematicName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"45223",310,157,0,"A_25_P00011068","hsa-miR-107",1.28013635678984,8.59498758544641,3.94072461019702,0.000884765858092089,0.0310361364955967,-0.596345598517663
"3552",24,140,0,"A_25_P00010472","hsa-miR-99a-5p",-2.53055398556501,9.12611809510921,-3.94063675487991,0.00088494301120483,0.0310361364955967,-0.596533849740231
"31981",219,97,0,"A_25_P00015230","hsa-miR-1274b_v16.0",2.0004672246249,11.0686859709366,3.9391308344678,0.000887985095565746,0.031118083568174,-0.599760618598127
"26792",183,162,0,"A_25_P00014589","hsa-miR-125b-2-3p",-1.01092135546693,6.44092910411507,-3.93893074382565,0.000888390081169767,0.031118083568174,-0.600189353070939
"19231",132,81,0,"A_25_P00010677","hsa-miR-24-3p",1.59863486656806,10.7480766827787,3.93826388245752,0.000889741149101253,0.0311459418864651,-0.60161823069559
"37735",259,35,0,"A_25_P00010996","hsa-miR-210",1.84588757035423,8.26644948912058,3.93607284417925,0.000894194689923742,0.0312148600502456,-0.606312870818944
"3316",23,41,0,"A_25_P00015663","hsa-miR-320e",-1.22006141787255,8.70005116139713,-3.93604487403965,0.00089425168627955,0.0312148600502456,-0.606372800421998
"9706",67,2,0,"A_25_P00011018","hsa-miR-136-5p",-1.62757615780498,6.48553509826987,-3.93599306396319,0.000894357272232415,0.0312148600502456,-0.606483810088748
"38061",261,74,0,"A_25_P00012332","hsa-miR-378_v17.0",1.13218565696551,6.76622572607198,3.93592560113856,0.000894494776259624,0.0312148600502456,-0.606628357655555
"3707",25,152,0,"A_25_P00011102","hsa-miR-15b-5p",2.25740046845548,10.0176581131891,3.93537470095701,0.000895618422622326,0.0312165696727237,-0.607808726170447
"29260",200,136,0,"A_25_P00012262","hsa-miR-320a",-1.09458408406585,9.84198124034722,-3.93535542253127,0.000895657769497889,0.0312165696727237,-0.607850032330573
"14221",98,27,0,"A_25_P00010979","hsa-miR-125b-5p",-2.48712695621595,13.1928370083877,-3.9343030930351,0.000897808175597248,0.0312611202761024,-0.610104750573496
"21272",146,86,0,"A_25_P00011069","hsa-miR-107",1.34390647052165,10.4779101200562,3.93418413081971,0.000898051595969681,0.0312611202761024,-0.610359636933578
"13445",92,143,0,"A_25_P00011102","hsa-miR-15b-5p",2.21129614532006,10.0603239580543,3.93370007384135,0.000899042753292637,0.0312761961921369,-0.611396765260953
"16129",111,45,0,"A_25_P00010677","hsa-miR-24-3p",1.61758333813198,10.7126488039869,3.93320288465863,0.000900061938304063,0.0312922278351817,-0.612462024154448
"16441",113,63,0,"A_25_P00010475","hsa-miR-100-5p",-2.31160030997611,8.68564802744795,-3.93188091130351,0.000902777463250319,0.0313671792624928,-0.615294404142077
"39033",268,22,0,"A_25_P00011017","hsa-miR-136-5p",-1.05212470446038,5.99245691066814,-3.93071184313356,0.000905185719596616,0.0314119061728005,-0.617799141540716
"8309",57,74,0,"A_25_P00010995","hsa-miR-210",1.91225101917497,9.10934318540507,3.92888420290698,0.00090896349022937,0.0314928306920509,-0.621714803957159
